cycle,state,action,q_value
8,3,two_intra_route_shift,-2342.513015162883
8,3,eliminate_smallest_route,-3058.1465502640967
8,3,eliminate_random_route,-3137.5571485959117
8,4,intra_route_swap,-3105.931359953728
8,4,inter_route_swap,-2984.4020448932506
8,4,intra_route_shift,-2123.8567564629684
8,4,inter_route_shift,-2882.074247701974
8,4,two_intra_route_swap,-3130.720039739382
8,4,two_intra_route_shift,-2830.985955525325
8,4,eliminate_smallest_route,-2959.6106626496567
8,4,eliminate_random_route,-3227.131195505461
9,1,intra_route_swap,-907.6487869736028
9,1,inter_route_swap,-1230.0578294669385
9,1,intra_route_shift,-697.9988195719916
9,1,inter_route_shift,-731.141651922672
9,1,two_intra_route_swap,-677.1848500771847
9,1,two_intra_route_shift,-682.0722707677894
9,1,eliminate_smallest_route,-924.1500099544877
9,1,eliminate_random_route,-877.7957236954038
9,2,intra_route_swap,-990.9465328063674
9,2,inter_route_swap,-1231.4438430463674
9,2,intra_route_shift,-894.0101444887871
9,2,inter_route_shift,-930.6262641302242
9,2,two_intra_route_swap,-1063.9754219681329
9,2,two_intra_route_shift,-878.3738545126778
9,2,eliminate_smallest_route,-1184.2630162452288
9,2,eliminate_random_route,-1012.8881607468321
9,3,intra_route_swap,-3048.831748910838
9,3,inter_route_swap,-4088.479742935086
9,3,intra_route_shift,-2740.7182864499414
9,3,inter_route_shift,-2943.3803020880327
9,3,two_intra_route_swap,-2954.0505791129035
9,3,two_intra_route_shift,-1900.3788551468672
9,3,eliminate_smallest_route,-3130.2465529416218
9,3,eliminate_random_route,-3076.0725285197173
9,4,intra_route_swap,-2680.753878570239
9,4,inter_route_swap,-3161.7733531451163
9,4,intra_route_shift,-1571.8639200867792
9,4,inter_route_shift,-2740.762044600751
9,4,two_intra_route_swap,-2879.95291459294
9,4,two_intra_route_shift,-2731.731301048328
9,4,eliminate_smallest_route,-2959.6106626496567
9,4,eliminate_random_route,-3168.820048235283
10,1,intra_route_swap,-907.6487869736028
10,1,inter_route_swap,-1287.0734407556317
10,1,intra_route_shift,-657.2130819421459
10,1,inter_route_shift,-731.141651922672
10,1,two_intra_route_swap,-786.6025982125302
10,1,two_intra_route_shift,-769.5483637534489
10,1,eliminate_smallest_route,-924.1500099544877
10,1,eliminate_random_route,-1073.5865620111208
10,2,intra_route_swap,-1029.1780647503645
10,2,inter_route_swap,-1231.4438430463674
10,2,intra_route_shift,-1070.6832740639124
10,2,inter_route_shift,-1080.3973393638316
10,2,two_intra_route_swap,-1087.726841932708
10,2,two_intra_route_shift,-1072.514448226444
10,2,eliminate_smallest_route,-1383.9384514798185
10,2,eliminate_random_route,-1172.1312342678848
10,3,intra_route_swap,-2527.2615947491913
10,3,inter_route_swap,-3614.3187337488916
10,3,intra_route_shift,-2395.372649609624
10,3,inter_route_shift,-2719.784860768623
10,3,two_intra_route_swap,-2946.744096844116
10,3,two_intra_route_shift,-1860.5773741969936
10,3,eliminate_smallest_route,-3141.1274635765303
10,3,eliminate_random_route,-2983.7745170920844
10,4,intra_route_swap,-2612.3076599178103
10,4,inter_route_swap,-3096.6151232638213
10,4,intra_route_shift,-1343.3056722232232
10,4,inter_route_shift,-2556.1245193297964
10,4,two_intra_route_swap,-2631.7967825288083
10,4,two_intra_route_shift,-2731.731301048328
10,4,eliminate_smallest_route,-2974.1349524445545
10,4,eliminate_random_route,-3168.820048235283
